DEC1,DEC2,DEC3,DEC4,DEC_CENT,RA1,RA2,RA3,RA4,RA_CENT,TILENAME
-51.74709313,-51.74709313,-51.01665863,-51.01665863,-51.38333333,3.66687824,2.48705939,2.4963999,3.65753773,3.07696882,DES0012-5123
-64.5961184,-64.5961184,-63.86572433,-63.86572433,-64.23333333,83.35875204,81.65598759,81.67817844,83.33656119,82.50736982,DES0530-6414
-63.16849041,-63.16849041,-62.43808887,-62.43808887,-62.80555556,92.32423961,90.70587823,90.72570817,92.30440966,91.51505892,DES0606-6248
-48.89168004,-48.89168004,-48.16124127,-48.16124127,-48.52777778,72.93820521,71.82720703,71.83516201,72.93025023,72.38270612,DES0449-4831
-64.5961184,-64.5961184,-63.86572433,-63.86572433,-64.23333333,86.64321027,84.94044582,84.96263667,86.62101942,85.79182805,DES0543-6414
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,82.53541473,81.06048234,81.0765558,82.51934127,81.79794853,DES0527-5957
-54.60248698,-54.60248698,-53.87205783,-53.87205783,-54.23888889,345.25951436,343.99844769,344.00951102,345.24845103,344.62898103,DES2258-5414
-42.46694862,-42.46694862,-41.73650297,-41.73650297,-42.10277778,7.86515314,6.87492046,6.88059175,7.85948185,7.3700368,DES0029-4206
-7.48730553,-7.48730553,-6.756848,-6.756848,-7.12222222,39.11207442,38.37533495,38.37592129,39.11148807,38.74370468,DES0234-0707
-47.46396751,-47.46396751,-46.73352694,-46.73352694,-47.1,70.75151811,69.67103649,69.67839761,70.74415699,70.2112773,DES0440-4706
-48.17782423,-48.17782423,-47.44738453,-47.44738453,-47.81388889,70.75459433,69.65915193,69.66680267,70.74694359,70.20687313,DES0440-4748
-52.46094357,-52.46094357,-51.73051029,-51.73051029,-52.09722222,73.64139824,72.44254112,72.45227671,73.63166265,73.04196968,DES0452-5205
-7.48730553,-7.48730553,-6.756848,-6.756848,-7.12222222,35.5148737,34.77813423,34.77872057,35.51428736,35.14650396,DES0220-0707
-60.31319429,-60.31319429,-59.58278087,-59.58278087,-59.95,78.25854425,76.78361186,76.79968532,78.24247079,77.52107806,DES0510-5957
