TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0500-5123,75.13994330,-51.38333333,75.72985273,74.55003387,74.55937439,75.72051221,-51.74709313,-51.74709313,-51.01665863,-51.01665863,74.55003387,75.72985273,-51.74709313,-51.01665863,74.56801493,75.71187167,-51.74027778,-51.02638889,N,0.26300001,10000,10000,5000.50000000,5000.50000000,75.13994330,-51.38333333,-0.00007306,0.00000000,0.00000000,0.00007306
DES2044-5040,311.04398847,-50.66944444,311.62476512,310.46321183,310.47217817,311.61579877,-51.03324149,-51.03324149,-50.30280583,-50.30280583,310.46321183,311.62476512,-51.03324149,-50.30280583,310.48080115,311.60717579,-51.02638889,-50.31250000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,311.04398847,-50.66944444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0303-4748,45.75647531,-47.81388889,46.30419651,45.20875411,45.21640485,46.29654577,-48.17782423,-48.17782423,-47.44738453,-47.44738453,45.20875411,46.30419651,-48.17782423,-47.44738453,45.22494492,46.28800570,-48.17083333,-47.45694444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,45.75647531,-47.81388889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0203-4623,30.91204301,-46.38611111,31.44508663,30.37899939,30.38608457,31.43800146,-46.75010994,-46.75010994,-46.01966852,-46.01966852,30.37899939,31.44508663,-46.75010994,-46.01966852,30.39457854,31.42950749,-46.74305556,-46.02916667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,30.91204301,-46.38611111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0410-4957,62.57527502,-49.95555556,63.14728478,62.00326526,62.01187684,63.13867319,-50.31938872,-50.31938872,-49.58895197,-49.58895197,62.00326526,63.14728478,-50.31938872,-49.58895197,62.02048075,63.13006928,-50.31250000,-49.59861111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,62.57527502,-49.95555556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0401-4414,60.49441771,-44.24444444,61.00743958,59.98139584,59.98772661,61.00110881,-44.60853245,-44.60853245,-43.87808876,-43.87808876,59.98139584,61.00743958,-44.60853245,-43.87808876,59.99614916,60.99268626,-44.60138889,-43.88750000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,60.49441771,-44.24444444,-0.00007306,0.00000000,0.00000000,0.00007306
DES0217-4206,34.31129753,-42.10277778,34.80641388,33.81618119,33.82185249,34.80074258,-42.46694862,-42.46694862,-41.73650297,-41.73650297,33.81618119,34.80641388,-42.46694862,-41.73650297,33.83020359,34.79239148,-42.45972222,-41.74583333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,34.31129753,-42.10277778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0046-5622,11.70247967,-56.38055556,12.36850371,11.03645563,11.04910436,12.35585498,-56.74401669,-56.74401669,-56.01359250,-56.01359250,11.03645563,12.36850371,-56.74401669,-56.01359250,11.05779647,12.34716287,-56.73750000,-56.02361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,11.70247967,-56.38055556,-0.00007306,0.00000000,0.00000000,0.00007306
DES0408-6039,62.16895464,-60.66388889,62.92295787,61.41495141,61.43186264,62.90604665,-61.02702272,-61.02702272,-60.29661194,-60.29661194,61.41495141,62.92295787,-61.02702272,-60.29661194,61.44039546,62.89751382,-61.02083333,-60.30694444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,62.16895464,-60.66388889,-0.00007306,0.00000000,0.00000000,0.00007306
DES2139-5705,324.93554569,-57.09444444,325.61452227,324.25656910,324.26981545,325.60127593,-57.45785642,-57.45785642,-56.72743410,-56.72743410,324.25656910,325.61452227,-57.45785642,-56.72743410,324.27849903,325.59259234,-57.45138889,-56.73750000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,324.93554569,-57.09444444,-0.00007306,0.00000000,0.00000000,0.00007306
