TILENAME,RA,DEC,RAC1,RAC2,RAC3,RAC4,DECC1,DECC2,DECC3,DECC4,RACMIN,RACMAX,DECCMIN,DECCMAX,URAL,URAU,UDECL,UDECU,CROSSRAZERO,PIXELSCALE,NAXIS1,NAXIS2,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CD1_1,CD1_2,CD2_1,CD2_2
DES0457-6122,74.45919176,-61.37777778,75.23061313,73.68777039,73.70558243,75.21280109,-61.74084837,-61.74084837,-61.01044044,-61.01044044,73.68777039,75.23061313,-61.74084837,-61.01044044,73.71405535,75.20432817,-61.73472222,-61.02083333,N,0.26300001,10000,10000,5000.50000000,5000.50000000,74.45919176,-61.37777778,-0.00007306,0.00000000,0.00000000,0.00007306
DES0503-5331,75.91777931,-53.52500000,76.53749506,75.29806356,75.30865867,76.52689995,-53.88864058,-53.88864058,-53.15820997,-53.15820997,75.29806356,76.53749506,-53.88864058,-53.15820997,75.31733983,76.51821878,-53.88194444,-53.16805556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,75.91777931,-53.52500000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0508-5331,77.11865826,-53.52500000,77.73837401,76.49894251,76.50953762,77.72777890,-53.88864058,-53.88864058,-53.15820997,-53.15820997,76.49894251,77.73837401,-53.88864058,-53.15820997,76.51821878,77.71909773,-53.88194444,-53.16805556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,77.11865826,-53.52500000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0453-5248,73.26281748,-52.81111111,73.87217355,72.65346141,72.66361459,73.86202036,-53.17479275,-53.17479275,-52.44436076,-52.44436076,72.65346141,73.87217355,-53.17479275,-52.44436076,72.67228458,73.85335038,-53.16805556,-52.45416667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,73.26281748,-52.81111111,-0.00007306,0.00000000,0.00000000,0.00007306
DES0452-5205,73.04196968,-52.09722222,73.64139824,72.44254112,72.45227671,73.63166265,-52.46094357,-52.46094357,-51.73051029,-51.73051029,72.44254112,73.64139824,-52.46094357,-51.73051029,72.46093303,73.62300633,-52.45416667,-51.74027778,N,0.26300001,10000,10000,5000.50000000,5000.50000000,73.04196968,-52.09722222,-0.00007306,0.00000000,0.00000000,0.00007306
DES0450-5040,72.69244957,-50.66944444,73.27322622,72.11167293,72.12063927,73.26425987,-51.03324149,-51.03324149,-50.30280583,-50.30280583,72.11167293,73.27322622,-51.03324149,-50.30280583,72.12926225,73.25563689,-51.02638889,-50.31250000,N,0.26300001,10000,10000,5000.50000000,5000.50000000,72.69244957,-50.66944444,-0.00007306,0.00000000,0.00000000,0.00007306
DES2243-4331,340.97252747,-43.53055556,341.47935965,340.46569529,340.47179657,341.47325837,-43.89467183,-43.89467183,-43.16422746,-43.16422746,340.46569529,341.47935965,-43.89467183,-43.16422746,340.48019517,341.46485976,-43.88750000,-43.17361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,340.97252747,-43.53055556,-0.00007306,0.00000000,0.00000000,0.00007306
DES2243-5414,340.96429781,-54.23888889,341.59483115,340.33376448,340.34482781,341.58376782,-54.60248698,-54.60248698,-53.87205783,-53.87205783,340.33376448,341.59483115,-54.60248698,-53.87205783,340.35351728,341.57507835,-54.59583333,-53.88194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,340.96429781,-54.23888889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0342-2832,55.58481013,-28.53888889,56.00200795,55.16761231,55.17049487,55.99912539,-28.90348249,-28.90348249,-28.17302911,-28.17302911,55.16761231,56.00200795,-28.90348249,-28.17302911,55.17849565,55.99112461,-28.89583333,-28.18194444,N,0.26300001,10000,10000,5000.50000000,5000.50000000,55.58481013,-28.53888889,-0.00007306,0.00000000,0.00000000,0.00007306
DES0341-2706,55.35178575,-27.11111111,55.76344826,54.94012324,54.94280145,55.76077006,-27.47574205,-27.47574205,-26.74528818,-26.74528818,54.94012324,55.76344826,-27.47574205,-26.74528818,54.95078065,55.75279086,-27.46805556,-26.75416667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,55.35178575,-27.11111111,-0.00007306,0.00000000,0.00000000,0.00007306
DES2350-5248,357.67460615,-52.81111111,358.28396221,357.06525008,357.07540326,358.27380903,-53.17479275,-53.17479275,-52.44436076,-52.44436076,357.06525008,358.28396221,-53.17479275,-52.44436076,357.08407324,358.26513905,-53.16805556,-52.45416667,N,0.26300001,10000,10000,5000.50000000,5000.50000000,357.67460615,-52.81111111,-0.00007306,0.00000000,0.00000000,0.00007306
DES2351-5331,357.86064755,-53.52500000,358.48036331,357.24093180,357.25152691,358.46976820,-53.88864058,-53.88864058,-53.15820997,-53.15820997,357.24093180,358.48036331,-53.88864058,-53.15820997,357.26020808,358.46108703,-53.88194444,-53.16805556,N,0.26300001,10000,10000,5000.50000000,5000.50000000,357.86064755,-53.52500000,-0.00007306,0.00000000,0.00000000,0.00007306
DES0454-4331,73.53099884,-43.53055556,74.03783102,73.02416666,73.03026794,74.03172974,-43.89467183,-43.89467183,-43.16422746,-43.16422746,73.02416666,74.03783102,-43.89467183,-43.16422746,73.03866655,74.02333114,-43.88750000,-43.17361111,N,0.26300001,10000,10000,5000.50000000,5000.50000000,73.53099884,-43.53055556,-0.00007306,0.00000000,0.00000000,0.00007306
